0e0711b8-3d19-45b6-b306-6f3d9f3dec67:1746116814706:72:S:CREATE TABLE Station (\n    STATIONID NUMBER PRIMARY KEY,\n    NAME VARCHAR2(100) NOT NULL,\n    BESCHREIBUNG VARCHAR2(200),\n    ORT VARCHAR2(50),\n    AKTIV CHAR(1) DEFAULT 'Y' CHECK (AKTIV IN ('Y', 'N'))\n);
cde5e865-4e6c-4e67-a2ce-7adc2638a2f7:1746116814975:59:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (1, 'Station 1', 'Laufbahn', 'Sportplatz Nord', 'Y');
e0d52590-9eff-4ac8-a0b0-6b2b2530c532:1746116815177:36:S:INSERT INTO Station (STATIONID, NAME, BESCHREIBUNG, ORT, AKTIV) \nVALUES (2, 'Station 2', 'Weitsprung', 'Sportplatz Ost', 'Y');
729c495e-9d2b-446d-bbda-66d3e1f54591:1746116815282:35:S:COMMIT;
4ccdb654-209f-40c6-b6a8-d916e41a2d8c:1746607964333:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (20, 'STR');
99387c5b-3f68-4ca5-90af-a447babfc193:1746607964558:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (21, 'WEL');
4b8ea96a-c094-4f6c-a94a-f39f7b938642:1746607964760:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (22, 'LES');
c8d93076-e549-434f-bbf2-cf24ce0fc39d:1746607964962:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (23, 'MEY');
78fab1cb-df32-4bdc-9db1-4747cbf69415:1746607965189:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (24, 'HAP');
22607623-b1a7-4656-8569-cac462382009:1746607965400:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (25, 'PAN');
6d343930-6f81-4168-b160-5f495060e383:1746608115591:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (26, 'LEW');
877eb98e-d1e9-454d-93cd-8f2a675c4bc2:1746608122367:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (27, 'HES');
833eb9bb-b1bf-4117-b69e-d4a02bee6b7f:1746608129186:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (28, 'BOE');
f6794e06-c998-4d59-b9c5-885dce90218c:1746608135904:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (8, 'GEM');
13d2f8a7-b5bd-48d2-8dc5-d9f964e54332:1746608136110:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (9, 'BUN');
d9aae4c0-00b0-4b47-8cde-9d665bd159a8:1746608136324:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (10, 'LOR');
0b076c6b-46ed-4c07-8056-16d21db8a59c:1746608136504:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (11, 'MAR');
eb35a43a-7cad-4514-99c8-9525c240b6c0:1746608136678:0:F:INSERT INTO BETREUER (BETREUERID, NAME) VALUES (12, 'STF');
